title,entity,polarity,objectivity,words
Vragen over nieuwe kerncentrale,vandaag,-60,90,"[['bekend', 'gemaakt']]"
'Onveilige kerncentrale moet voorlopig dicht',provinciebestuur,35,80,[['bekend']]
D66: geen kerncentrale in Eemshaven,nelleke,-33,56,[['vreemd']]
Werkbezoek Kerncentrale,bedrijfsbezoek,64,90,[['interessant']]
Motie oplossen problematiek kerncentrale Borsele unaniem aangenomen,stemmen,-23,50,[['algemene']]
Motie oplossen problematiek kerncentrale Borsele unaniem aangenomen,stemmen,-23,50,[['algemene']]
Een tweede kerncentrale in Nederland is onverstandig,komst,15,45,[['nieuwe']]
SP vragen over plannen tweede kerncentrale Borssele,aandeelhouders,-50,90,[['provinciale']]
SP: meer duidelijkheid over incidenten kerncentrale Emsland,berichtten,10,35,[['diverse']]
SP: meer duidelijkheid over incidenten kerncentrale Emsland,berichtten,10,35,[['diverse']]
Fracties sturen noodbrief met vragen over lekkage in kerncentrale Doel,gedeelte,-60,90,[['gevaarlijke']]
Fracties sturen noodbrief met vragen over lekkage in kerncentrale Doel,partijen,5,37,"[['diverse'], ['politieke']]"
SP stelt vragen over plannen tweede kerncentrale in Borssele,aandeelhouders,-50,90,[['provinciale']]
